Satellite_Capacity_W,Secondary_Capacity_Q,Num_Vehicles,Success_Rate,Best_Fitness,Mean_Fitness,Std_Fitness,Median_Fitness,Mean_Time_sec
19500,800,4,100.0%,15182.70,15471.28,155.14,15521.00,17.12
19500,900,4,100.0%,15345.00,15434.14,59.60,15453.00,17.21
19500,1000,4,100.0%,15345.75,15455.26,77.71,15453.05,17.36
19500,1100,4,100.0%,15312.00,15407.76,65.82,15398.05,17.49
19500,1200,4,100.0%,15254.00,15431.58,130.78,15414.50,17.37
20000,800,4,100.0%,15265.75,15402.30,75.31,15436.05,17.34
20000,900,4,100.0%,15316.00,15412.03,77.26,15438.05,17.52
20000,1000,4,100.0%,15288.70,15418.45,93.43,15399.00,17.42
20000,1100,4,100.0%,15314.00,15368.09,42.78,15395.00,17.43
20000,1200,4,100.0%,15293.05,15355.55,38.42,15359.70,17.40
21000,800,4,100.0%,15181.70,15425.25,124.37,15474.05,17.93
21000,900,4,100.0%,15327.05,15411.71,70.88,15397.70,17.46
21000,1000,4,100.0%,15240.00,15363.11,76.85,15384.05,17.41
21000,1100,4,100.0%,15323.00,15416.28,101.14,15340.00,17.41
21000,1200,4,100.0%,15219.00,15376.75,100.50,15422.00,17.42
22000,800,4,100.0%,15062.05,15229.04,93.42,15256.00,17.38
22000,900,4,100.0%,15280.75,15354.69,43.23,15362.00,17.37
22000,1000,4,100.0%,15306.00,15410.03,78.94,15442.75,17.41
22000,1100,4,100.0%,15149.00,15287.56,96.94,15296.70,17.41
22000,1200,4,100.0%,15179.05,15323.56,76.73,15341.00,17.40
23000,800,4,100.0%,15053.70,15284.04,142.44,15295.75,17.51
23000,900,4,100.0%,15201.05,15279.64,58.35,15265.70,17.28
23000,1000,4,100.0%,15070.75,15321.32,145.40,15320.05,17.22
23000,1100,4,100.0%,15253.05,15324.70,67.20,15310.75,17.24
23000,1200,4,100.0%,15267.00,15357.69,78.68,15358.75,17.23
